########################################## 03/11/2014 23:42 ##########################################
Multilayer Perceptron Backpropagation - Matrices de orden 4
 ELEMENTOS DE ENTRENAMIENTO = 700
 ELEMENTOS DE VALIDACION = 105
 ELEMENTOS DE TEST = 300
------------------------------------------------------------------------------------------
 @ PERCEPTRON MULTICAPA 
   * UMBRAL DE ERROR : 0.01
   * NEURONAS DE ENTRADA : 6
   * NEURONAS OCULTAS    : 80
   * NEURONAS DE SALIDA  : 6
   * FACTOR DE APRENDIZAJE : 1.0E-4
   * MOMENTUM : 0.01
------------------------------------------------------------------------------------------
   Iteracion #132000 Error:0.058754581080782416
   Iteracion #133000 Error:0.058747609760996494
   Iteracion #134000 Error:0.05874069627074027
   Iteracion #135000 Error:0.058733840468470515
   Iteracion #136000 Error:0.05872704216737138
   Iteracion #137000 Error:0.05872030113697845
   Iteracion #138000 Error:0.05871361710485695
   Iteracion #139000 Error:0.05870698975832754
   Iteracion #140000 Error:0.058700418746228396
   Iteracion #141000 Error:0.058693903680705685
   Iteracion #142000 Error:0.0586874441390243
   Iteracion #143000 Error:0.0586810396653898
   Iteracion #144000 Error:0.058674689772773486
   Iteracion #145000 Error:0.058668393944735
   Iteracion #146000 Error:0.05866215163723267
   Iteracion #147000 Error:0.058655962280417764
   Iteracion #148000 Error:0.058649825280404654
   Iteracion #149000 Error:0.05864374002101195
   Iteracion #150000 Error:0.058637705865469764
   Iteracion #151000 Error:0.05863172215808838
   Iteracion #152000 Error:0.05862578822588338
   Iteracion #153000 Error:0.0586199033801549
   Iteracion #154000 Error:0.05861406691801688
   Iteracion #155000 Error:0.058608278123874175
   Iteracion #156000 Error:0.05860253627084467
   Iteracion #157000 Error:0.058596840622125654
   Iteracion #158000 Error:0.05859119043230174
   Iteracion #159000 Error:0.0585855849485947
   Iteracion #160000 Error:0.05858002341205322
   Iteracion #161000 Error:0.05857450505868396
   Iteracion #162000 Error:0.058569029120522635
   Iteracion #163000 Error:0.05856359482664585
   Iteracion #164000 Error:0.05855820140412501
   Iteracion #165000 Error:0.0585528480789226
   Iteracion #166000 Error:0.05854753407673175
   Iteracion #167000 Error:0.058542258623761646
   Iteracion #168000 Error:0.05853702094746868
   Iteracion #169000 Error:0.05853182027723692
   Iteracion #170000 Error:0.05852665584500721
   Iteracion #171000 Error:0.05852152688586011
   Iteracion #172000 Error:0.058516432638551656
   Iteracion #173000 Error:0.058511372346005903
   Iteracion #174000 Error:0.058506345255765764
   Iteracion #175000 Error:0.0585013506204041
   Iteracion #176000 Error:0.05849638769789811
   Iteracion #177000 Error:0.05849145575196828
   Iteracion #178000 Error:0.05848655405238443
   Iteracion #179000 Error:0.05848168187524134
   Iteracion #180000 Error:0.058476838503205564
   Iteracion #181000 Error:0.05847202322573574
   Iteracion #182000 Error:0.05846723533927875
   Iteracion #183000 Error:0.05846247414744263
   Iteracion #184000 Error:0.05845773896114952
   Iteracion #185000 Error:0.05845302909876917
   Iteracion #186000 Error:0.05844834388623575
   Iteracion #187000 Error:0.05844368265714854
   Iteracion #188000 Error:0.05843904475285903
   Iteracion #189000 Error:0.058434429522545295
   Iteracion #190000 Error:0.05842983632327512
